,Apr-16,Apr-17,Net Change
10031,657,723,66
10034,650,543,-107
11226,632,662,30
10040,628,495,-133
11216,596,520,-76
10002,591,685,94
10009,568,500,-68
10001,545,269,-276
10027,542,478,-64
11211,534,443,-91
11238,530,424,-106
10467,524,437,-87
11206,502,446,-56
10032,491,536,45
10019,491,301,-190
11221,489,464,-25
10025,480,471,-9
10456,478,443,-35
10472,466,285,-181
11237,457,509,52
10029,447,411,-36
10003,444,441,-3
10468,432,608,176
10457,429,376,-53
11205,427,278,-149
10458,414,460,46
11217,399,373,-26
10033,399,405,6
10452,385,489,104
10013,378,266,-112
11385,375,294,-81
10011,369,411,42
10453,361,379,18
10039,358,202,-156
10463,339,298,-41
10016,336,505,169
11213,312,288,-24
10026,308,314,6
10012,302,360,58
11225,297,347,50
10036,297,276,-21
10030,293,296,3
10028,291,168,-123
10014,290,247,-43
10010,271,277,6
11207,269,329,60
11368,262,217,-45
10462,261,236,-25
11201,259,358,99
11233,253,299,46
10128,250,324,74
11101,244,235,-9
11212,243,207,-36
10461,241,128,-113
11215,235,302,67
11222,235,213,-22
11208,224,266,42
10451,224,235,11
11249,223,199,-24
11220,219,278,59
11106,215,123,-92
11235,215,184,-31
10460,213,372,159
11102,211,112,-99
10038,210,131,-79
10024,209,269,60
11209,208,209,1
10005,205,51,-154
11230,204,190,-14
11372,204,221,17
10466,200,239,39
10035,193,223,30
11377,192,167,-25
10023,191,254,63
10459,188,230,42
10455,182,144,-38
10065,181,124,-57
11218,170,191,21
11234,169,143,-26
10304,163,126,-37
10017,156,161,5
10022,153,159,6
11420,153,145,-8
11373,147,182,35
10301,145,97,-48
11223,144,112,-32
11229,144,231,87
11103,143,155,12
11421,142,174,32
11369,142,75,-67
11419,141,140,-1
11375,141,187,46
11203,138,172,34
10018,136,59,-77
11104,130,113,-17
11432,128,133,5
10021,121,83,-38
10469,121,143,22
11214,120,138,18
11374,118,83,-35
11236,116,108,-8
11231,116,116,0
10454,115,174,59
11435,115,162,47
11354,115,89,-26
11224,114,102,-12
11415,114,74,-40
10314,113,108,-5
11210,112,94,-18
11691,109,116,7
10465,108,118,10
11105,105,149,44
11418,100,84,-16
11232,98,150,52
11367,98,98,0
10007,97,54,-43
10310,96,129,33
11366,96,360,264
11356,94,78,-16
11204,92,110,18
10474,91,54,-37
10037,90,113,23
11219,89,97,8
11416,84,52,-32
11433,84,92,8
10473,83,163,80
10306,79,134,55
11434,77,104,27
11358,74,51,-23
11355,74,107,33
10075,72,146,74
10006,70,31,-39
11694,69,52,-17
10305,67,46,-21
10471,62,43,-19
11378,61,55,-6
11370,60,42,-18
11413,56,64,8
11365,53,82,29
10470,53,57,4
11361,50,23,-27
11423,48,47,-1
11357,48,50,2
11427,47,48,1
10302,46,70,24
11428,46,14,-32
11693,45,40,-5
11692,44,43,-1
11379,43,46,3
11412,40,60,20
10004,40,51,11
11422,39,49,10
11436,38,31,-7
11414,37,58,21
11417,37,67,30
11228,35,49,14
10312,33,123,90
11364,29,32,3
10308,27,24,-3
10303,25,59,34
11004,22,14,-8
11429,22,34,12
11360,21,15,-6
11411,20,45,25
10280,15,11,-4
11362,14,10,-4
10309,12,34,22
10475,12,29,17
11426,12,21,9
10464,11,26,15
10307,11,15,4
83,10,0,0
10044,9,2,-7
11239,8,6,-2
11109,7,8,1
11363,7,7,0
10069,5,11,6
10282,4,5,1
10000,4,4,0
10020,2,2,0
11040,2,1,-1
11001,1,4,3
11430,1,0,0
11697,1,2,1
10041,1,0,0
10107,1,0,0
10111,1,0,0
10278,1,1,0